song,performer,count,year
That's How Love Goes,Jermaine Jackson,11,1972
Back Up,DeJ Loaf Featuring Big Sean,8,2016
That's What She Gets For Loving Me,Brooks & Dunn,14,2004
Probably Wouldn't Be This Way,LeAnn Rimes,14,2005
Dirty Laundry,Carrie Underwood,7,2017
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",19,2016
Slither,Velvet Revolver,20,2004
Daisy Mae,"Hamilton, Joe Frank & Reynolds",7,1972
Tell Me (I'll Be Around),Shades,17,1996
Mercy,Duffy,20,2008
Falls Apart,Sugar Ray,20,2000
Geronimo's Cadillac,Michael Murphey,13,1972
Mishale,Andru Donalds,15,1995
In A Real Love,Phil Vassar,17,2004
Murphy's Law,Cheri,12,1982
No Mediocre,T.I. Featuring Iggy Azalea,20,2014
Not Me,The Orlons,10,1963
Human,The Killers,11,2008
Nicole,Point Blank,14,1981
Grindin',Clipse,20,2002
If We Make It Through December,Merle Haggard,5,1974
New Freezer,Rich The Kid Featuring Kendrick Lamar,19,2018
It's Gonna Take A Miracle,The Royalettes,11,1965
Ghost,Ella Henderson,13,2015
Honky Cat,Elton John,10,1972
I'm Free (Heaven Helps The Man),Kenny Loggins,14,1984
More Than Words,Frankie J,16,2005
Not The Only One,Bonnie Raitt,17,1992
On The Way Up,Elisa Fiorillo,14,1990
Never Wanted Nothing More,Kenny Chesney,20,2007
Gasolina,Daddy Yankee,13,2005
If My Heart Had Wings,Faith Hill,18,2001
Mine Would Be You,Blake Shelton,20,2013
Honey Love,R. Kelly & Public Announcement,19,1992
Midas Touch,Midnight Star,14,1986
Every Step Of The Way,John Waite,12,1985
Let Your Love Go,Bread,10,1971
Fantasy,"Earth, Wind & Fire",15,1978
Hallelujah,Sweathog,3,1972
I'll Be Your Shelter (In Time Of Storm),Luther Ingram,6,1973
Here I Am,Rick Ross Featuring Nelly & Avery Storm,14,2008
Good Stuff,The B-52s,13,1992
My First Night With You,Mya,14,1999
Free,Mya,16,2001
Get It On,Chase,13,1971
"My Girl (Gone, Gone, Gone)",Chilliwack,14,1981
In The Heat Of The Night,Ray Charles,7,1967
Headed For A Heartbreak,Winger,18,1989
No Easy Way Out,Robert Tepper,16,1986
Look For A Star,Deane Hawley,11,1960
Native New Yorker,Odyssey,8,1977
I Wouldn't Have Missed It For The World,Ronnie Milsap,10,1981
Feels So Good,Van Halen,14,1989
It's The Same Old Song,KC And The Sunshine Band,10,1978
I've Been Hurt,Bill Deal & The Rhondels,10,1969
I'm Free,The Who,8,1969
Higher Plane,Kool & The Gang,8,1974
"Nights Like This (From ""The Five Heartbeats"")",After 7,15,1991
Mr. Dream Merchant,Jerry Butler,7,1967
Kentucky Woman,Deep Purple,8,1968
Mickey,Toni Basil,17,1982
Fool In Love With You,Jim Photoglo,16,1981
Jessie's Girl,Rick Springfield,32,1981
Fins,Jimmy Buffett,11,1979
Lemon Tree,"Peter, Paul & Mary",8,1962
God Bless America,Connie Francis,7,1959
Natural Born Lover,Fats Domino,9,1960
Just Got Paid,Johnny Kemp,21,1988
I Got A Thang 4 Ya!,Lo-Key?,7,1992
Happy People,The Temptations,8,1975
Gangstas Make The World Go Round,Westside Connection,20,1997
Friends In Love,Dionne Warwick & Johnny Mathis,13,1982
Jump Then Fall,Taylor Swift,3,2009
Ironic,Alanis Morissette,32,1996
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,27,2011
Immortal,J. Cole,1,2016
Just A Dream,Nelly,17,2010
Let Me Love You,DJ Snake Featuring Justin Bieber,19,2016
My Way,Usher,24,1998
If Dreams Came True,Pat Boone,10,1958
Dreamer,Chris Brown,2,2008
Element.,Kendrick Lamar,11,2017
Gone,Kanye West Featuring Cam'ron & Consequence,1,2013
Inventing Shadows,Dia Frampton,1,2011
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,2,2019
Hands,Jewel,4,1998
Not Alike,Eminem Featuring Royce Da 5'9,3,2018
My Body,LSG,9,1997
My Life,50 Cent Featuring Eminem & Adam Levine,3,2012
Nobody's Perfect,Hannah Montana,7,2007
I Thought About Killing You,Kanye West,1,2018
Hold Tight,Justin Bieber,1,2013
Great Is Thy Faithfulness,Jordan Smith,1,2015
I Want You,Savage Garden,33,1997
Firework,Glee Cast,2,2011
I Wish,Stevie Wonder,4,1976
One More Try,George Michael,18,1988
Nowhere To Go,Melissa Etheridge,12,1996
Make Em' Say Uhh!,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",27,1998
How Would You Feel (Paean),Ed Sheeran,2,2017
Dusk Till Dawn,Zayn Featuring Sia,14,2017
Hello Goodbye,The Beatles,5,1967
Love Me Like You Do,Ellie Goulding,34,2015
Get It Together,Drake Featuring Jorja Smith & Black Coffee,2,2017
Late In The Evening,Paul Simon,16,1980
"Miracle (From ""Young Guns II"")",Jon Bon Jovi,10,1990
Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban",1,2010
Georgia,Ludacris & Field Mob Featuring Jamie Foxx,1,2005
Live To Tell,Madonna,18,1986
"Get Outta My Dreams, Get Into My Car",Billy Ocean,20,1988
Mask Off,Future,31,2017
Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",18,2002
Happy,Leona Lewis,9,2009
Free Fallin',John Mayer,10,2008
I Have Nothing,Tessanne Chin,1,2014
Madiba Riddim,Drake,2,2017
Heaven,Bryan Adams,19,1985
King For A Day,Thompson Twins,16,1986
Faded,Tyga Featuring Lil Wayne,22,2012
Dream Baby (How Long Must I Dream),Glen Campbell,7,1971
Dreamtime,Daryl Hall,15,1986
E-Bow The Letter,R.E.M.,9,1996
I'm Awesome,Spose,9,2010
Hit The Road Jack,Ray Charles and his Orchestra,13,1961
Like I Would,Zayn,3,2016
Notorious,Duran Duran,9,1986
Mine,Bazzi,34,2018
Jingle Bell Rock,Bobby Helms,2,1958
Last Night On Earth,U2,8,1997
I'm Comin' Over,Chris Young,23,2015
Everybody Dies,J. Cole,1,2016
Mrs. Robinson,Simon & Garfunkel,13,1968
Mint Car,The Cure,5,1996
Majesty,Nicki Minaj Featuring Eminem & Labrinth,1,2018
Leave Virginia Alone,Rod Stewart,12,1995
Jazzy Belle,OutKast,14,1997
Hittas,Lil Wayne,1,2018
I Only Have Eyes For You,The Flamingos,13,1959
Encore,"Eminem, Dr. Dre & 50 Cent",6,2004
Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens,3,2007
Invincible (Theme From The Legend Of Billie Jean),Pat Benatar,17,1985
I Wanna Be Down,Brandy,14,1994
Kicks,Paul Revere & The Raiders Featuring Mark Lindsay,14,1966
Jumpin' Jack Flash,The Rolling Stones,12,1968
Light My Fire,Jose Feliciano,12,1968
Heart Of Gold,Neil Young,14,1972
Making Love Out Of Nothing At All,Air Supply,23,1983
Help Somebody,Van Zant,11,2005
Now!,Lena Horne,2,1963
Sauce It Up,Lil Uzi Vert,15,2017
Didn't We Almost Have It All,Whitney Houston,17,1987
Only The Good Die Young,Glee Cast,1,2010
Don't Go Breaking My Heart,Glee Cast,1,2010
Request Line,Zhane,12,1997
Alone,Glee Cast Featuring Kristin Chenoweth,1,2009
Raise Your Glass,P!nk,10,2010
She Bop,Cyndi Lauper,18,1984
Because Of You,Reba McEntire Duet With Kelly Clarkson,15,2007
Read 'Em And Weep,Barry Manilow,7,1983
Burn,Ellie Goulding,15,2013
Blue Jean,David Bowie,16,1984
A Great Big Sled,The Killers Featuring Toni Halliday,1,2006
Came Here To Forget,Blake Shelton,19,2016
"Bohemian Rhapsody (From ""High School High"")",The Braids,11,1996
Back To The World,Tevin Campbell,9,1996
Come Go With Me,Expose,19,1987
Thank God I'm A Country Boy,John Denver,19,1975
She Works Hard For The Money,Donna Summer,21,1983
So Close,Daryl Hall John Oates,14,1990
Special Lady,"Ray, Goodman & Brown",18,1980
So What,Field Mob Featuring Ciara,21,2006
Carry Out,Timbaland Featuring Justin Timberlake,24,2010
Red Roses For A Blue Lady,Vic Dana,12,1965
Don't Come Around Here No More,Tom Petty And The Heartbreakers,14,1985
Anywhere,112 Featuring Lil'z,25,1999
Rose Garden,Lynn Anderson,12,1971
China Grove,The Doobie Brothers,13,1973
Dance With Me,The Drifters,12,1959
Skinny Legs And All,Joe Tex,10,1967
Say My Name,Destiny's Child,31,2000
Africa,Toto,9,1982
Shower,Becky G,20,2014
Take Me Back,Little Anthony And The Imperials,11,1965
Boy From New York City,The Manhattan Transfer,21,1981
Suddenly,Billy Ocean,22,1985
Baby Scratch My Back,Slim Harpo,13,1966
Beep,The Pussycat Dolls Featuring will.i.am,20,2006
Come Back Silly Girl,The Lettermen,11,1962
Don't Knock My Love - Pt. 1,Wilson Pickett,12,1971
Smokin' In The Boys Room,Motley Crue,15,1985
That's All,Genesis,14,1984
Say Goodbye To Hollywood,Billy Joel,15,1981
Rock'n Me,Steve Miller,18,1976
Read 'Em And Weep,Barry Manilow,7,1984
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin,21,1986
Alice In Wonderland,Neil Sedaka,10,1963
Purple Hills,D12,15,2001
Soul Man,Blues Brothers,11,1979
Strange Magic,Electric Light Orchestra,14,1976
A Must To Avoid,Herman's Hermits,8,1966
Shinin' On,Grand Funk,11,1974
The End Of Our Road,Gladys Knight And The Pips,10,1968
It Could Have Been Me,Sami Jo,13,1974
I Love Women,Jim Hurt,4,1980
Last Tango In Paris,Herb Alpert & The Tijuana Brass,8,1973
Juice,Yo Gotti,3,2018
I Can't Ask For Anymore Than You,Cliff Richard,2,1977
I Should Be Laughing,Patty Smyth,4,1993
Love Is Strong,The Rolling Stones,5,1994
Needy,Ariana Grande,4,2019
He Don't Really Love You,The Delfonics,4,1968
It's Four In The Morning,Faron Young,4,1972
Everything's Alright,Yvonne Elliman,6,1971
For Your Love,Christopher Paul And Shawn,5,1975
Games People Play,Inner Circle,5,1994
Funk It Up (David's Song),Sweet,5,1977
Lili Marlene,Al Martino,7,1968
Hijack,Herbie Mann,15,1975
"I Surrender, Dear",Aretha Franklin,5,1962
Keep On Running Away,Lazy Racer,4,1979
Love Bug,Bumble Bee Unlimited,2,1977
Free To Carry On,The Sandpipers,4,1970
Hicktown,Jason Aldean,13,2005
I Like It,Jomanda,6,1993
Like A Cowboy,Randy Houser,12,2015
I Got To Tell Somebody,Betty Everett,3,1971
Hurt,Re-flex,4,1984
Martha (Your Lovers Come And Go),Gabriel,4,1978
Let's Put The Fun Back In Rock N Roll,Freddy Cannon & The Belmonts,4,1981
Here We Come,"Timbaland Featuring Missy ""Misdemeanor"" Elliott & Magoo",4,1998
Me-U=Blue,Glenn Medeiros (Featuring The Stylistics),4,1990
I Can't Wait Any Longer,Bill Anderson,4,1978
Find A Way,Dwele,12,2003
I Heard It Through The Grapevine,Marvin Gaye,6,1968
Please Don't Go,Tank,20,2007
Satisfaction,Eve,11,2003
Bugatti,Ace Hood Featuring Future & Rick Ross,20,2013
Same Ole Love (365 Days A Year),Anita Baker,14,1987
Redneck Yacht Club,Craig Morgan,19,2005
She Understands Me,Johnny Tillotson,2,1965
Quality Time,Hi-Five,13,1993
Take A Back Road,Rodney Atkins,23,2011
Ooh Poo Pah Doo - Part II,Jessie Hill,16,1960
Can't Be Friends,Trey Songz,13,2010
Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,19,1992
Send Me An Angel,Scorpions,10,1992
Purest Of Pain (A Puro Dolor),Son By Four,26,2000
Come Get To This,Marvin Gaye,4,1974
Principal's Office,Young M.C.,8,1990
Pretty Boy Swag,Soulja Boy Tell'em,16,2010
Sixteen,Thomas Rhett,9,2019
Somebody's Crying,Chris Isaak,20,1995
A Thousand Years,Christina Perri,17,2012
A Little Bit Stronger,Sara Evans,21,2011
Something's Gotta Give,LeAnn Rimes,18,2006
As Time Goes By,Johnny Nash,11,1959
Brotha,Angie Stone,12,2002
Blackberry Molasses,Mista,18,1996
Both Sides Of The Story,Phil Collins,8,1994
Country Comes To Town,Toby Keith,15,2000
Planez,Jeremih Featuring J. Cole,20,2015
Any Ol' Barstool,Jason Aldean,18,2017
Sequel,Harry Chapin,5,1981
"Birthday Suit (From ""Sing"")",Johnny Kemp,14,1989
Connection,Elastica,20,1995
Superman,Celi Bee & The Buzzy Bunch,13,1977
Stop In The Name Of Love,The Hollies,12,1983
Macarena,Los Del Rio,21,1996
Everyday I Write The Book,Elvis Costello And The Attractions,14,1983
Girls Lie Too,Terri Clark,15,2004
"Lover, Lover",Jerrod Niemann,20,2010
Gee Whiz,The Innocents,4,1961
In My Dreams,REO Speedwagon,24,1987
How Deep Is Your Love,Calvin Harris & Disciples,20,2015
Love You Down,INOJ/LATHUN,20,1998
It Goes Like This,Thomas Rhett,22,2013
Greenback Dollar,The Kingston Trio,11,1963
My Boy,Richard Harris,5,1972
Okie From Muskogee,Merle Haggard And The Strangers,5,1970
Heart And Soul,The Cleftones,10,1961
Ego,Beyonce,17,2009
Heavy Fallin' Out,The Stylistics,11,1974
I'm Coming Home,Stories,12,1972
Everybody Talks,Neon Trees,39,2012
If You're Not Back In Love By Monday,Millie Jackson,4,1978
It Keeps You Runnin',The Doobie Brothers,7,1977
It's Your Body,Johnny Gill Featuring Roger Troutman,16,1997
High On Emotion,Chris de Burgh,13,1984
Hit 'Em Up Style (Oops!),Blu Cantrell,34,2001
No Milk Today,Herman's Hermits,10,1967
"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks,19,1992
Never Thought (That I Could Love),Dan Hill,17,1988
May The Bird Of Paradise Fly Up Your Nose,"""Little"" Jimmy Dickens",10,1965
It Ain't My Fault 1 & 2,Silkk The Shocker Featuring Mystikal,18,1999
Icky Thump,The White Stripes,17,2007
Jesus Is A Soul Man,Lawrence Reynolds,10,1969
Fine China,Chris Brown,16,2013
Had A Dream (Sleeping With The Enemy),Roger Hodgson,12,1984
Give To Live,Sammy Hagar,17,1987
Get On The Good Foot-Part 1,James Brown,14,1972
I Wanna Hear It From Your Lips,Eric Carmen,11,1985
Falling In Love (Is Hard On The Knees),Aerosmith,15,1997
Hey There Lonely Girl,Robert John,13,1980
I Saw Red,Warrant,14,1991
Free Bird,Lynyrd Skynyrd,6,1975
I Won't Stand In Your Way,Stray Cats,10,1983
Georgia On My Mind,Michael Bolton,10,1990
How You Remind Me,Nickelback,17,2001
Heartbreaker,Dolly Parton,10,1978
"Lovers By Night, Strangers By Day",The Fleetwoods,10,1962
Going Back To Cali,The Notorious B.I.G.,15,1998
Let Me Belong To You,Brian Hyland,11,1961
Love You Down,Ready For The World,14,1987
"Love Is (From ""Beverly Hills, 90210"")",Vanessa Williams/Brian McKnight,28,1993
Moves,Big Sean,19,2017
I've Got A Thing About You Baby/Take Good Care Of Her,Elvis Presley,12,1974
Fancy Dancer,Commodores,9,1977
Girl Of My Dreams,Bram Tchaikovsky,12,1979
Hit The Road Jack,Stampeders,8,1976
Ginger Bread,Frankie Avalon,11,1958
I Love You This Big,Scotty McCreery,16,2011
Follow You Down/Til I Hear It From You,Gin Blossoms,46,1996
No Frauds,"Nicki Minaj, Drake & Lil Wayne",7,2017
MotorSport,"Migos, Nicki Minaj & Cardi B",7,2017
Jumper,Third Eye Blind,4,1998
Mirror,Lil Wayne Featuring Bruno Mars,3,2011
Kamikaze,Eminem,3,2018
Make Me...,Britney Spears Featuring G-Eazy,9,2016
NASA,Ariana Grande,3,2019
Glitter In The Air,P!nk,18,2010
Mad World,Adam Lambert,3,2009
Gone Till November,Wyclef Jean,20,1998
My Baby Daddy,B-Rock & The Bizz,19,1997
Kiss Me Kiss Me,5 Seconds Of Summer,1,2014
Enchanted Island,The Four Lads,7,1958
It's My Life / Confessions Part II,Glee Cast,2,2009
I'll Never Love Again,Lady Gaga,6,2018
Escapade,Janet Jackson,17,1990
Listen,Glee Cast,1,2010
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",32,2012
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,7,2012
Express Yourself,Madonna,16,1989
F**k Love,XXXTentacion Featuring Trippie Redd,7,2017
It's A Mistake,Men At Work,15,1983
Glaciers Of Ice/Criminology,Chef Raekwon,9,1995
If You Love Somebody Set Them Free,Sting,18,1985
Medicine,Queen Naija,20,2018
Everything,Michael Buble,20,2007
Keep Coming Back,Richard Marx,9,1991
First Off,Future Featuring Travis Scott,3,2019
Man In The Mirror,Michael Jackson,17,1988
Lollipop (Candyman),Aqua,3,1997
I Feel It Coming,The Weeknd Featuring Daft Punk,4,2016
Energy,Drake,20,2015
Jorja Interlude,Drake,2,2017
I'll Show You,Justin Bieber,6,2015
Keep The Fire Burnin',REO Speedwagon,16,1982
Let's Get It Started,The Black Eyed Peas,20,2004
I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,10,2009
Forever,Rascal Flatts,1,2009
Fix You,Glee Cast,1,2011
It's The Same Old Song,Four Tops,9,1965
I'll Try Something New,Supremes & Temptations,7,1969
Faith,George Michael,10,1987
Mother's Daughter,Miley Cyrus,1,2019
He Don't Love You (Like I Love You),Tony Orlando & Dawn,14,1975
Faithfully,Journey,16,1983
I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",26,2002
Incomplete,Backstreet Boys,20,2005
Hollywood,Michael Buble,2,2010
Lights Out,Peter Wolf,14,1984
I'm Still In Love With You,Al Green,12,1972
Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,12,2016
Head Over Heels,Go-Go's,16,1984
Family Portrait,P!nk,7,2002
Gummo,6ix9ine,5,2017
Kiddio,Brook Benton,17,1960
My Destiny,Katharine McPhee,2,2006
Jumpin' Jack Flash,Aretha Franklin,11,1986
Feel Me Flow,Naughty By Nature,20,1995
Love Me Good,Michael W. Smith,5,1998
Got The Feeling,Fabian,5,1959
I Need You,America,10,1972
Game Of Love,Wayne Fontana & The Mindbenders,11,1965
How Can I Be Sure,David Cassidy,9,1972
Make The Music Play,Dionne Warwick,4,1963
Love Me Or Leave Me Alone,Brand Nubian,3,1993
K-Jee,The Nite-Liters,16,1971
One More Minute,Saint Tropez,11,1979
Five Hundred Miles,Heaven Bound with Tony Scotti,3,1971
"Mean Little Woman, Rosalie",Tommy Roe,3,1972
Mister Magic,"Grover Washington, Jr.",10,1975
How Much Is That Doggie In The Window,Baby Jane & The Rockabyes,7,1963
Love Has No Pride,Linda Ronstadt,5,1973
"I Wanna Make Love To You (From ""Innocent Blood"")",Rhythm Syndicate,8,1992
I Got A Thing About You Baby,Billy Lee Riley,2,1972
Drop Dead Gorgeous,Republica,3,1997
He's So Heavenly,Brenda Lee,3,1963
Nobody Knows You When You're Down And Out,Nina Simone,2,1960
I Need You,Tim McGraw With Faith Hill,16,2007
Go Away From My World,Marianne Faithfull,3,1965
I Wanna Be Free,Loretta Lynn,2,1971
Guys Do It All The Time,Mindy McCready,9,1996
Marina,Jacky Noguez And His Orchestra,3,1959
Old Enough To Love,Ricky Nelson,3,1963
Death Of A Bachelor,Panic! At The Disco,1,2016
Ain't Your Mama,Jennifer Lopez,2,2016
"Shimmy, Shimmy Walk, Part 1",The Megatons,4,1962
That Acapulco Gold,The Rainy Daze,4,1967
Break Away,The Beach Boys,6,1969
Rock And Roll Crazies,Stephen Stills-Manassas,3,1972
Six Packs A Day,Billy Lemmons,1,1977
Only The Lonely (Have A Reason To Be Sad),La Flavour,2,1980
Scientific Love,Midnight Star,7,1985
Stand By My Woman,Lenny Kravitz,8,1991
"So Long (Well, Well, Well)",Phajja,5,1998
Deadly Zone,Bounty Killer Featuring Mobb Deep & Rappin' Noyd,7,1998
Only You,Tami Davis,1,1998
Cookie Jar,Gym Class Heroes Featuring The-Dream,5,2008
Best Friend's Brother,Victorious Cast Featuring Victoria Justice,4,2011
Come Join The Murder,The White Buffalo & The Forest Rangers,1,2014
Conscience,Kodak Black Featuring Future,1,2017
Dedication,Nipsey Hussle Featuring Kendrick Lamar,2,2019
Chills And Fever,Ronnie Love And His Orchestra,4,1961
Bring It On Home To Me,Sam Cooke,11,1962
That's How It Goes,George Maharis,3,1963
A House Is Not A Home,Brook Benton,7,1964
Cast Your Fate To The Wind,Shelby Flint,7,1966
Daddy's Home,Jermaine Jackson,4,1972
Back In My Arms Again,Genya Ravan,3,1978
Anchorage,Michelle Shocked,4,1988
Arms,Christina Perri,2,2011
Pretty Girls,Iyaz Featuring Travie McCoy,14,2011
The Ballad Of Thunder Road,Robert Mitchum,11,1958
Rockhouse (Part 2),Ray Charles and his Orchestra,2,1958
City Lights,Debbie Reynolds,4,1960
Seven Day Fool,Etta James,1,1961
Shirl Girl,Wayne Newton And The Newton Brothers,7,1963
Tell Me Mamma,Christine Quaite,2,1964
A Little Bit Of Soap,Garnet Mimms,1,1965
Something I Want To Tell You,Johnny and The Expressions,5,1966
Sleepy Joe,Herman's Hermits,6,1968
Slick,Willie Hutch,6,1973
Another Night,Wilson Bros.,2,1979
Battleship Chains,The Georgia Satellites,5,1987
Perfect,Fairground Attraction,3,1988
Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil,9,2000
Diamond Girl,Ryan Leslie,3,2008
Beggin',Madcon,10,2009
Strip Me,Natasha Bedingfield,4,2010
Cough Syrup,Young The Giant,3,2012
Don't Be Cruel,Barbara Lynn,4,1963
Amen,The Impressions,6,1964
So Much Love,Ben E. King,2,1966
"Dommage, Dommage (Too Bad, Too Bad)",Jerry Vale,2,1966
Open The Door (Song For Judith),Judy Collins,2,1971
She's Gone,Daryl Hall John Oates,8,1974
Air Disaster,Albert Hammond,4,1974
Cathedrals,D.C. LaRue,2,1976
Shiver And Shake,The Silencers,5,1980
One Sunny Day (From Quicksilver),"Ray Parker,Jr. & Helen Terry",3,1986
Smooth Up,BulletBoys,10,1989
Alone Together,Fall Out Boy,3,2013
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",3,2014
Big Boy Pete,The Olympics,14,1960
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,6,1960
The Age For Love,Jimmy Charles,4,1960
Do Anything You Wanna (Part I),Harold Betters,7,1964
Pretend You Don't See Her,Bobby Vee,1,1964
Don't Touch Me,Jeannie Seely,5,1966
Devil's Angels,Davie Allan And The Arrows,1,1967
All Your Goodies Are Gone (The Loser's Seat),The Parliaments,7,1967
Ain't Nothin' But A House Party,The Show Stoppers,5,1968
She Lets Her Hair Down (Early In The Morning),Gene Pitney,1,1969
An American Trilogy,Elvis Presley,6,1972
Thanks For The Smiles,Charlie Ross,5,1975
So Much For Love,The Venetians,5,1987
One Simple Thing,Stabilizers,3,1987
3 Little Words,Nu Flavor,9,2000
An Honest Mistake,The Bravery,1,2005
Don't Rush,Kelly Clarkson Featuring Vince Gill,2,2012
Sex With Me,Rihanna,8,2016
Blessed Up,Meek Mill,1,2016
Tell Her For Me,Adam Wade,7,1960
Alvin's Orchestra,David Seville And The Chipmunks,5,1960
A Star Is Born (A Love Has Died),Mark Dinning,6,1960
California Sun,Joe Jones,3,1961
Portrait Of A Fool,Conway Twitty,2,1962
Tell Me The Truth,Nancy Wilson,6,1963
Alfie,Cilla Black,3,1966
Stand In For Love,The O'Jays,3,1966
Brooklyn Roads,Neil Diamond,6,1968
But I Do,Bobby Vinton,1,1972
Dance And Shake Your Tambourine,Universal Robot Band,6,1977
Real Love,The Cretones,6,1980
Round And Round,Jonell & Method Man,3,2001
Lost Without U,Robin Thicke,21,2007
No Roots,Alice Merton,3,2018
Keep The Ball Rollin',Jay And The Techniques,1,1968
Heroes (We Could Be),Alesso Featuring Tove Lo,9,2015
Must Be Doin' Somethin' Right,Billy Currington,9,2006
I Wanna Make You Close Your Eyes,Dierks Bentley,9,2010
Fresh Eyes,Andy Grammer,7,2017
Drowning,Backstreet Boys,9,2002
Live Your Life,T.I. Featuring Rihanna,16,2009
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,7,1971
Impulsive,Wilson Phillips,8,1991
Hurt,Christina Aguilera,8,2007
Missunderstanding,Al B. Sure!,2,1991
Love Lockdown,Kanye West,10,2009
Here We Go,Trina Featuring Kelly Rowland,7,2006
Need You,Donnie Owens,2,1959
I Need You,The Pointer Sisters,2,1984
A Little Feeling (Called Love),Jack Scott,2,1961
"Love, Peace And Happiness",Chambers Brothers,1,1970
I Can't Stop,The Osmond Brothers,1,1971
One Of The Boys,Mott The Hoople,1,1973
Naked Eye,Luscious Jackson,2,1996
Eyes Wide Open,Gotye,1,2012
Make Someone Happy,Perry Como,2,1960
Let's Go Steady Again,Sam Cooke,1,1966
James Brown Is Dead,L.A. Style,20,1992
Mad,Ne-Yo,2,2008
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",1,2016
Learn To Let Go,Kesha,1,2017
Mayores,Becky G Featuring Bad Bunny,8,2017
Flamingo L'Amore,The Gaylords,1,1958
Image - Part 1,Hank Levine And Orchestra,1,1961
Good Time Tonight,The Soul Sisters,1,1964
If We Ever Meet Again,Timbaland Featuring Katy Perry,1,2009
Hungry Like The Wolf / Rio,Glee Cast,1,2012
My Way,Fetty Wap Featuring Monty,22,2015
Nights,Frank Ocean,1,2016
Fix A Drink,Chris Janson,14,2017
Motorcycle,Tico And The Triumphs,1,1961
I Cried,Tammy Montgomery,1,1963
I've Got Five Dollars And It's Saturday Night,George & Gene,1,1965
Girlstown,Super Cat,1,1995
Just Like You,Hannah Montana,1,2006
Feedback,Kanye West,1,2016
No Money,Galantis,5,2016
Ev'rybody's Cryin',Jimmie Beaumont,1,1961
Ol' Man River,Jimmy Smith,3,1962
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",1,2011
First Of The Year (Equinox),Skrillex,1,2011
Never Enough,One Direction,1,2015
Greatest Love Story,LANCO,5,2018
My Little Girl,Tim McGraw,6,2007
Nothing On But The Radio,Gary Allan,5,2005
Just Another Day In Paradise,Phil Vassar,6,2001
Head Over Heels,Tears For Fears,4,1986
Ships,Barry Manilow,2,1980
Control,Puddle Of Mudd,8,2002
Smack That,Akon Featuring Eminem,17,2007
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers,6,1973
Queen Of The Hop,Bobby Darin,6,1959
Better Days,Goo Goo Dolls,7,2006
Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",14,2008
Anniversary,Tony Toni Tone,6,1994
Satisfy You,Puff Daddy Featuring R. Kelly,6,2000
Break,Three Days Grace,6,2010
Birmingham,Amanda Marshall,6,1997
Broken Wings,Mr. Mister,7,1986
A Penny For Your Thoughts,Tavares,6,1983
Beating Heart,Ellie Goulding,3,2014
Shut Up And Dance,WALK THE MOON,5,2014
Rockin' Crickets,Rockin' Rebels,4,1963
Crossfire Time,Dee Clark,5,1963
Come On Over To My Place,The Drifters,5,1965
Open Up Your Door,Richard And The Young Lions,1,1966
"Baby, Help Me",Percy Sledge,5,1967
Alone Again Or,Love,3,1970
"Take Me Home, Country Roads",John Denver,23,1971
Ajax Airlines,Hudson and Landry,6,1972
Southbound Train,Graham Nash & David Crosby,2,1972
Smokin' Room,Carl Carlton,4,1975
Reconsider Me,Narvel Felts,6,1975
Outlaw,War,3,1982
"Don't Say No, Just Say Yes",Avant,4,2002
Betcha Can't Do It Like Me,D4L,8,2006
All I Ever Wanted,Kelly Clarkson,6,2010
Shake Up Christmas,Train,1,2011
Papi,Jennifer Lopez,3,2011
Price Tag,Xenia,1,2011
Sweet Little Kathy,Ray Peterson,1,1961
Because I Love You,Billy Stewart,2,1966
Peak Of Love,Bobby McClure,2,1966
A Tribute To A King,William Bell,6,1968
Singing My Song,Tammy Wynette,5,1969
Son Of A Travelin' Man,Ed Ames,4,1969
See Ruby Fall,Johnny Cash,3,1969
